,Venue Weighted Rating,Venue Review Count,Venue Price,Venue Category,Venue Category 0,Venue Category 1,Venue Category 2,Venue Category 3,Neighborhood 0,Distance to Neighborhood 0,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8
0,4.318295739348371,1197,$$,Dessert Shop,macarons,none,none,none,Little Tokyo,234,none,none,none,none,none,none,none,none
1,5.0,29,$,Coffee Shop,coffee,coffeeroasteries,desserts,none,Cypress Park,488,none,none,none,none,none,none,none,none
2,4.5,138,$$,Smoke Shop,cigarbars,none,none,none,Toy District,496,none,none,none,none,none,none,none,none
3,4.0,528,$$,Bar,bars,none,none,none,Sunset Junction,75,none,none,none,none,none,none,none,none
4,3.5,381,$$,Bar,cocktailbars,gastropubs,beerbar,none,Eagle Rock,71,none,none,none,none,none,none,none,none
5,2.5,96,$$,Smoke Shop,tobaccoshops,headshops,vapeshops,none,Granada Hills,195,none,none,none,none,none,none,none,none
6,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Los Feliz,354,none,none,none,none,none,none,none,none
7,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Pico Robertson,472,none,none,none,none,none,none,none,none
8,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Silver Lake,55,none,none,none,none,none,none,none,none
9,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Eagle Rock,471,none,none,none,none,none,none,none,none
10,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Park La Brea,418,none,none,none,none,none,none,none,none
11,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Arlington Heights,495,none,none,none,none,none,none,none,none
12,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Laurel Canyon,80,Valley Village,none,none,none,none,none,none,none
13,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Mar Vista,468,none,none,none,none,none,none,none,none
14,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Baldwin Village,140,none,none,none,none,none,none,none,none
15,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Edendale,478,none,none,none,none,none,none,none,none
16,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,East Hollywood,88,none,none,none,none,none,none,none,none
17,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Palms,53,none,none,none,none,none,none,none,none
18,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Toluca Lake,370,none,none,none,none,none,none,none,none
19,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Chatsworth,387,none,none,none,none,none,none,none,none
20,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,San Pedro,66,none,none,none,none,none,none,none,none
21,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Pico-Union,125,none,none,none,none,none,none,none,none
22,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Tarzana,379,none,none,none,none,none,none,none,none
23,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,North Hollywood,124,none,none,none,none,none,none,none,none
24,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Van Nuys,437,none,none,none,none,none,none,none,none
25,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Lincoln Heights,425,none,none,none,none,none,none,none,none
26,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Van Nuys,223,none,none,none,none,none,none,none,none
27,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Financial District,364,none,none,none,none,none,none,none,none
28,2.5050029429075926,1699,$,Convenience Store,convenience,coffee,none,none,Leimert Park,433,none,none,none,none,none,none,none,none
29,4.5,136,$,Lounge,divebars,sportsbars,none,none,Del Rey,485,none,none,none,none,none,none,none,none
30,3.1166107382550337,596,$,Discount Store,partysupplies,discountstore,none,none,Sunset Junction,433,none,none,none,none,none,none,none,none
31,3.1166107382550337,596,$,Discount Store,partysupplies,discountstore,none,none,Little Armenia,61,Thai Town,none,none,none,none,none,none,none
32,3.1166107382550337,596,$,Discount Store,partysupplies,discountstore,none,none,Northridge,146,none,none,none,none,none,none,none,none
33,3.1166107382550337,596,$,Discount Store,partysupplies,discountstore,none,none,Wilmington,428,none,none,none,none,none,none,none,none
34,4.5,1323,$$,French Restaurant,french,none,none,none,Pico Robertson,293,none,none,none,none,none,none,none,none
35,4.0,449,$$,Cupcake Shop,bakeries,cupcakes,none,none,Granada Hills,415,none,none,none,none,none,none,none,none
36,4.5,152,$$,Salon / Barbershop,hair,none,none,none,Toluca Lake,346,none,none,none,none,none,none,none,none
37,3.0,48,$$$,Hotel,hotels,none,none,none,Carthay,340,none,none,none,none,none,none,none,none
38,2.7195121951219514,41,$$,Shoe Store,shoes,none,none,none,Whitley Heights,413,none,none,none,none,none,none,none,none
39,2.818982387475538,511,$$,Mobile Phone Shop,mobilephones,cellphoneaccessories,none,none,Playa Vista,117,none,none,none,none,none,none,none,none
40,2.818982387475538,511,$$,Mobile Phone Shop,mobilephones,cellphoneaccessories,none,none,South Central,333,none,none,none,none,none,none,none,none
41,4.0,1047,$,Pizza Place,pizza,none,none,none,Venice,466,none,none,none,none,none,none,none,none
42,4.0,394,$$,Caribbean Restaurant,caribbean,none,none,none,Leimert Park,299,none,none,none,none,none,none,none,none
43,4.0,662,$$,Breakfast Spot,newamerican,coffee,breakfast_brunch,none,Toluca Lake,318,none,none,none,none,none,none,none,none
44,4.5,1390,$$,Korean Restaurant,korean,bbq,none,none,Koreatown,230,none,none,none,none,none,none,none,none
45,4.0,352,$,Gay Bar,gaybars,none,none,none,Sunset Junction,475,none,none,none,none,none,none,none,none
46,4.0,214,$$,Japanese Restaurant,sushi,japanese,seafood,none,West Los Angeles,419,none,none,none,none,none,none,none,none
47,4.502958579881657,338,$$,Coffee Shop,coffeeroasteries,venues,none,none,Mar Vista,393,none,none,none,none,none,none,none,none
48,3.0,133,$$,Grocery Store,grocery,pharmacy,none,none,Los Feliz,212,none,none,none,none,none,none,none,none
49,4.0,78,$$,Café,coffee,none,none,none,Koreatown,415,none,none,none,none,none,none,none,none
50,4.0,450,$$,Middle Eastern Restaurant,persian,none,none,none,Granada Hills,193,none,none,none,none,none,none,none,none
51,3.5,478,$$$,Italian Restaurant,italian,wine_bars,none,none,Silver Lake,90,none,none,none,none,none,none,none,none
52,4.0,309,$$,Coffee Shop,coffee,breakfast_brunch,none,none,Los Feliz,256,none,none,none,none,none,none,none,none
53,4.0,613,$$,Italian Restaurant,italian,pizza,none,none,Atwater Village,405,none,none,none,none,none,none,none,none
54,4.0,695,$$,Restaurant,breakfast_brunch,hawaiian,salad,none,Little Tokyo,442,none,none,none,none,none,none,none,none
55,4.0,473,$$,Gluten-free Restaurant,coffee,gluten_free,breakfast_brunch,none,Garvanza,167,none,none,none,none,none,none,none,none
56,4.5,540,$$,Food Truck,juicebars,acaibowls,none,none,North University Park,167,University Park,University Park,none,none,none,none,none,none
57,4.5,540,$$,Smoothie Shop,juicebars,acaibowls,none,none,Arts District,354,none,none,none,none,none,none,none,none
58,3.5,51,$$,Bookstore,bookstores,toys,electronics,none,Pacific Palisades,101,none,none,none,none,none,none,none,none
59,4.0,352,$$,Thai Restaurant,thai,none,none,none,Sherman Oaks,409,none,none,none,none,none,none,none,none
60,4.5,56,$$,Boutique,womenscloth,accessories,bookstores,none,Venice,498,none,none,none,none,none,none,none,none
