,Unnamed: 0,Neighborhood,Latitude,Longitude
0,0,Angelino Heights,34.0702889,-118.2547965
1,1,Angeles Mesa,33.9914024,-118.3195196
2,3,Arleta,34.2413266,-118.4322047
3,4,Arlington Heights,34.0434937,-118.3213735
4,5,Arts District,34.0412389,-118.2344503
5,6,Atwater Village,34.1163979,-118.2564637
6,7,Baldwin Hills,34.0176157,-118.381694
7,8,Baldwin Hills/Crenshaw,34.0127479,-118.3547242
8,9,Baldwin Village,34.019431,-118.3458029
9,11,Beachwood Canyon,34.1222919,-118.3213845
10,13,Benedict Canyon,34.0447702,-118.4000223
11,14,Beverly Crest,34.1167701,-118.4322607
12,15,Beverly Glen,34.1077855,-118.4456361
13,16,Beverly Grove,34.0760338,-118.3699723
14,17,Beverly Hills Post Office,34.0696501,-118.3963062
15,18,Beverly Park,34.06376935,-118.26468959898818
16,19,Beverlywood,34.0459334,-118.39492
17,20,Boyle Heights,34.0436892,-118.2097684
18,21,Brentwood,34.0521403,-118.4740699
19,22,Brentwood Circle,34.0521403,-118.4740699
20,24,Broadway-Manchester,33.9410149,-118.2744036
21,25,Brookside,34.0536909,-118.242766
22,26,Bunker Hill,34.0550659,-118.2512228
23,28,Canoga Park,34.1909828,-118.5961783
24,30,Carthay,34.0611213,-118.3672997
25,32,Central-Alameda,34.004015,-118.2477844
26,33,Central City,15.1846747,120.5828961
27,34,Century City,34.0573589,-118.4146078
28,35,Chatsworth,34.2595715,-118.6023247
29,36,Chesterfield Square,33.9834737,-118.3136513
30,37,Cheviot Hills,34.0405878,-118.4098875
31,38,Chinatown,34.0638402,-118.2358676
32,39,Civic Center,34.0536909,-118.242766
33,40,Crenshaw,33.9252122,-118.3265295
34,42,Cypress Park,34.0922322,-118.2245179
35,43,Del Rey,33.9896527,-118.4243437
36,44,Downtown,34.0428494,-118.2476732
37,45,Eagle Rock,34.1390325,-118.2140958
38,47,East Hollywood,34.0904277,-118.2966254
39,48,Echo Park,34.074,-118.2608735
40,49,Edendale,34.1075157,-118.2659493
41,50,El Sereno,34.0811213,-118.1778495
42,51,Elysian Heights,34.080268,-118.2259162
43,52,Elysian Park,34.0774343,-118.2386204
44,53,Elysian Valley,34.0959128,-118.2420326
45,54,Encino,34.1591324,-118.5016166
46,55,Exposition Park,34.01365405,-118.28721058194556
47,57,Fairfax,34.0791555,-118.3522844
48,58,Fashion District,34.036622,-118.2590687
49,60,Financial District,34.0457621,-118.2593047
50,61,Florence,33.9741588,-118.2432856
51,62,Flower District,34.04096425,-118.24939703818896
52,64,Gallery Row,34.04668705,-118.24948972158668
53,65,Garvanza,34.1195777,-118.18062645261816
54,66,Glassell Park,34.1161201,-118.2289627
55,67,Gramercy Park,33.9511938,-118.3093275
56,68,Granada Hills,34.2661558,-118.5174342
57,69,Green Meadows,33.9409877,-118.2629968
58,70,Griffith Park,34.1358143,-118.2947892
59,71,Hancock Park,34.0677801,-118.332635
60,72,Harbor City,33.7911012,-118.3012604
61,73,Harbor Gateway,33.8542249,-118.2992198
62,74,Harvard Heights,34.0471105,-118.3054828
63,75,Harvard Park,33.9839471,-118.3046228
64,76,Hermon,34.10783085,-118.18510059004068
65,77,Highland Park,34.0536909,-118.242766
66,78,Historic Core,34.051860950000005,-118.24632625577796
67,79,Hollywood,34.0980031,-118.329523
68,81,Hollywood Hills,34.1311792,-118.3355474
69,82,Hollywood Hills West,34.1104847,-118.3733879
70,84,Hyde Park,33.9805691,-118.3306308
71,86,Jefferson Park,34.0272344,-118.3175756
72,87,Jewelry District,34.046206299999994,-118.25416742423955
73,89,Koreatown,34.0617936,-118.3054475
74,90,Ladera,33.9943126,-118.3735089
75,92,Lake Balboa,34.1938237,-118.5010456
76,93,Lake View Terrace,34.2763908,-118.3611912
77,94,Larchmont,34.0798375,-118.3178702
78,95,Laurel Canyon,34.1684654,-118.3962958
79,96,Leimert Park,34.008441,-118.3314469
80,97,Lincoln Heights,34.070929050000004,-118.20988981653888
81,98,Little Armenia,34.0981716,-118.3044966
82,101,Little Tokyo,34.0510343,-118.2386102
83,102,Los Feliz,34.10821395,-118.29003213272208
84,103,Manchester Square,33.966374,-118.3133775
85,104,Mandeville Canyon,34.0610395,-118.4949801
86,106,Mar Vista,34.0037605,-118.4391641
87,107,Melrose Hill,34.0536909,-118.242766
88,108,Mid-City,34.0415271,-118.3603703
89,109,Mid-Wilshire,34.0568616,-118.3458032
90,111,Mission Hills,34.2572249,-118.4670285
91,112,Montecito Heights,34.0895404,-118.1942792
92,115,Mount Washington,34.0988396,-118.2211069
93,116,Naud Junction,34.0605671,-118.2361847
94,117,Nichols Canyon,34.106135800000004,-118.3592408967005
95,119,North Hills,34.2429575,-118.4854081
96,120,North Hollywood,34.1729044,-118.3740371
97,121,Northridge,34.2345615,-118.5369316
98,122,North University Park,34.027449,-118.2839493
99,123,Old Bank District,4.6956101,-74.1202393
100,125,Pacific Palisades,34.0480643,-118.5264706
101,126,Pacoima,34.2625025,-118.427027
102,127,Palms,34.0247328,-118.4116152
103,128,Panorama City,34.2242902,-118.4453745
104,129,Park La Brea,34.0674016,-118.3552363
105,131,Pico Robertson,34.053269,-118.3869832
106,132,Pico-Union,34.0465669,-118.2878942
107,133,Playa del Rey,33.9541453,-118.4388067
108,134,Playa Vista,33.9760102,-118.4181654
109,135,Porter Ranch,34.2818164,-118.5612714
110,136,Rancho Park,34.0341731,-118.4262057
111,137,Reseda,34.2000784,-118.5369884
112,139,Rose Hills ,34.0139157,-118.0233474
113,140,Rustic Canyon,34.029593,-118.5167725
114,141,San Pedro,33.7358518,-118.2922934
115,142,Sawtelle,34.0361107,-118.4503563
