,Venue ID,Venue,Neighborhood 0,Distance to Neighborhood 0,Neighborhood 1,Distance to Neighborhood 1,Neighborhood 2,Distance to Neighborhood 2,Neighborhood 3,Distance to Neighborhood 3,Neighborhood 4,Distance to Neighborhood 4,Neighborhood 5,Distance to Neighborhood 5,Neighborhood 6,Distance to Neighborhood 6,Neighborhood 7,Distance to Neighborhood 7,Neighborhood 8,Distance to Neighborhood 8,Venue Address,Venue Category,Venue Latitude,Venue Longitude
0,3fd66200f964a52001ef1ee3,4100 Bar,Sunset Junction,75,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 0 8 7   M a n z a n i t a   S t   ( a t   S u n s e t   B l v d ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 9 ' ,   ' U n i t e d   S t a t e s ' ]",Bar,34.092979150657854,-118.2815124756
1,3fd66200f964a52018f01ee3,Pineapple Hill Saloon & Grill,Sherman Oaks,234,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 4 4 5 4   V a n   N u y s   B l v d   S t e   N   ( a t   M o o r p a r k   S t ) ' ,   ' S h e r m a n   O a k s ,   C A   9 1 4 0 3 ' ,   ' U n i t e d   S t a t e s ' ]",Bar,34.15247686626716,-118.44733549945089
2,3fd66200f964a5203eef1ee3,Burgundy Room,Hollywood,269,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 6 2 1   1 / 2   N   C a h u e n g a   B l v d   ( a t   H o l l y w o o d ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 8 ' ,   ' U n i t e d   S t a t e s ' ]",Dive Bar,34.10041960268302,-118.32966323335332
3,3fd66200f964a52045f01ee3,Tonga Hut,Valley Glen,460,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 2 8 0 8   V i c t o r y   B l v d   ( b t w n   C o l d w a t e r   C a n y o n   &   G o o d l a n d ) ' ,   ' N o r t h   H o l l y w o o d ,   C A   9 1 6 0 6 ' ,   ' U n i t e d   S t a t e s ' ]",Tiki Bar,34.186535164046546,-118.4122019818051
4,3fd66200f964a52046ef1ee3,El Coyote,Fairfax,443,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 7 3 1 2   B e v e r l y   B l v d   ( b t w   F u l l e r   &   P o i n s e t t i a ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 3 6 ' ,   ' U n i t e d   S t a t e s ' ]",Mexican Restaurant,34.07600393298408,-118.34933777496336
5,3fd66200f964a52047ef1ee3,El Carmen,Beverly Grove,493,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 8 1 3 8   W   3 r d   S t   ( a t   1   b l o c k   w e s t   o f   C r e s c e n t   H e i g h t s   B l v d ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 4 8 ' ,   ' U n i t e d   S t a t e s ' ]",Mexican Restaurant,34.07222814886104,-118.36722562655538
6,3fd66200f964a5204aef1ee3,Frank N Hank's,Koreatown,463,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 5 1 8   S   W e s t e r n   A v e ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 0 ' ,   ' U n i t e d   S t a t e s ' ]",Bar,34.0647612747112,-118.30896885790206
7,3fd66200f964a52058ef1ee3,Hollywood Palladium,Hollywood,483,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 6 2 1 5   W   S u n s e t   B l v d   ( a t   A r g y l e   A v e ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 8 ' ,   ' U n i t e d   S t a t e s ' ]",Rock Club,34.09859894649239,-118.32432857170916
8,3fd66200f964a52059ef1ee3,Musso & Frank Grill,Whitley Heights,410,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 6 6 6 7   H o l l y w o o d   B l v d   ( a t   N   C h e r o k e e   A v e ) ' ,   ' H o l l y w o o d ,   C A   9 0 0 2 8 ' ,   ' U n i t e d   S t a t e s ' ]",American Restaurant,34.10174887806733,-118.33537769943608
9,3fd66200f964a52070ee1ee3,Patrick's Roadhouse,Rustic Canyon,244,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 0 6   E n t r a d a   D r   ( P a c i f i c   C o a s t   H w y ) ' ,   ' S a n t a   M o n i c a ,   C A   9 0 4 0 2 ' ,   ' U n i t e d   S t a t e s ' ]",Breakfast Spot,34.02787596958089,-118.51841758019046
10,3fd66200f964a52084ee1ee3,Fatburger,Sherman Oaks,275,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 4 4 0 2   V e n t u r a   B l v d   ( B e v e r l y   G l e n ) ' ,   ' S h e r m a n   O a k s ,   C A   9 1 4 2 3 ' ,   ' U n i t e d   S t a t e s ' ]",Burger Joint,34.15027263972717,-118.44608776686476
11,3fd66200f964a52089ee1ee3,Boardner's,Whitley Heights,488,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 6 5 2   N   C h e r o k e e   A v e   ( a t   H o l l y w o o d ) ' ,   ' H o l l y w o o d ,   C A   9 0 0 2 8 ' ,   ' U n i t e d   S t a t e s ' ]",Cocktail Bar,34.101108036056566,-118.33502304537808
12,3fd66200f964a5208aee1ee3,Jumbo's Clown Room,Little Armenia,455,Thai Town,232,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 5 1 5 3   H o l l y w o o d   B l v d   ( a t   N   W e s t e r n   A v e ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 7 ' ,   ' U n i t e d   S t a t e s ' ]",Strip Club,34.10185621511964,-118.30233753818486
13,3fd66200f964a52090f01ee3,Maui Sugar Mill Saloon,Tarzana,291,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 8 3 8 9   V e n t u r a   B l v d ' ,   ' T a r z a n a ,   C A   9 1 3 5 6 ' ,   ' U n i t e d   S t a t e s ' ]",Music Venue,34.168604671313346,-118.53296703494291
14,3fd66200f964a52093ee1ee3,Good Stuff,Sawtelle,435,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 1 9 0 3   W   O l y m p i c   B l v d   ( a t   S   B u n d y   D r ) ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 6 4 ' ,   ' U n i t e d   S t a t e s ' ]",Burger Joint,34.03279823271411,-118.45285851683984
15,3fd66200f964a52096ee1ee3,The Satellite,Silver Lake,101,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 7 1 7   S i l v e r   L a k e   B l v d ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 6 ' ,   ' U n i t e d   S t a t e s ' ]",Rock Club,34.08983280466737,-118.2682905714132
16,3fd66200f964a52097ee1ee3,The Brig,Venice,319,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 5 1 5   A b b o t   K i n n e y   B l v d   ( a t   P a l m s   B l v d ) ' ,   ' V e n i c e ,   C A   9 0 2 9 1 ' ,   ' U n i t e d   S t a t e s ' ]",Bar,33.99025046825909,-118.46410560863784
17,3fd66200f964a5209af01ee3,Cowboy Palace Saloon,Chatsworth,244,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 2 1 6 3 5   D e v o n s h i r e   S t   ( a t   O w e n s m o u t h   A v e ) ' ,   ' C h a t s w o r t h ,   C A   9 1 3 1 1 ' ,   ' U n i t e d   S t a t e s ' ]",Rock Club,34.25746897547034,-118.6015382307806
18,3fd66200f964a5209ff01ee3,Oh Gradys,Granada Hills,165,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 1 7 6 3 3   C h a t s w o r t h   S t ' ,   ' G r a n a d a   H i l l s ,   C A   9 1 3 4 4 ' ,   ' U n i t e d   S t a t e s ' ]",Bar,34.26511664145574,-118.51872782486456
19,3fd66200f964a520a3ee1ee3,ABC Seafood,Chinatown,479,Naud Junction,209,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 2 0 5   O r d   S t ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 1 2 ' ,   ' U n i t e d   S t a t e s ' ]",Dim Sum Restaurant,34.06007060356406,-118.2383766329308
20,3fd66200f964a520a6ee1ee3,Cafe Stella,Sunset Junction,66,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"[ ' 3 9 3 2   W   S u n s e t   B l v d ' ,   ' L o s   A n g e l e s ,   C A   9 0 0 2 9 ' ,   ' U n i t e d   S t a t e s ' ]",French Restaurant,34.09216754838687,-118.28037261236784
