,Neighborhood,Zipcode,Latitude,Longitude
0,"Angelino Heights, Los Angeles, CA",90026,34.0702889,-118.2547965
1,"Angeles Mesa, Los Angeles, CA",90008,33.9914024,-118.3195196
2,"Angelus Vista, Los Angeles, CA",,,
3,"Arleta, Los Angeles, CA",California,34.2413266,-118.4322047
4,"Arlington Heights, Los Angeles, CA",California,34.0434937,-118.3213735
5,"Arts District, Los Angeles, CA",California,34.0412389,-118.2344503
6,"Atwater Village, Los Angeles, CA",90039,34.1163979,-118.2564637
7,"Baldwin Hills, Los Angeles, CA",90232,34.0176157,-118.381694
8,"Baldwin Hills/Crenshaw, Los Angeles, CA",California,34.0127479,-118.3547242
9,"Baldwin Village, Los Angeles, CA",90016,34.019431,-118.3458029
10,"Baldwin Vista, Los Angeles, CA",,,
11,"Beachwood Canyon, Los Angeles, CA",90068,34.1222919,-118.3213845
12,"Bel Air, Bel-Air or Bel Air Estates, Los Angeles, CA",,,
13,"Benedict Canyon, Los Angeles, CA",90034,34.0447702,-118.4000223
14,"Beverly Crest, Los Angeles, CA",90210-1054,34.1167701,-118.4322607
15,"Beverly Glen, Los Angeles, CA",90077,34.1077855,-118.4456361
16,"Beverly Grove, Los Angeles, CA",90048,34.0760338,-118.3699723
17,"Beverly Hills Post Office, Los Angeles, CA",California,34.0696501,-118.3963062
18,"Beverly Park, Los Angeles, CA",California,34.06376935,-118.26468959898818
19,"Beverlywood, Los Angeles, CA",California,34.0459334,-118.39492
20,"Boyle Heights, Los Angeles, CA",California,34.0436892,-118.2097684
21,"Brentwood, Los Angeles, CA",California,34.0521403,-118.4740699
22,"Brentwood Circle, Los Angeles, CA",California,34.0521403,-118.4740699
23,"Brentwood Glen, Los Angeles, CA",,,
24,"Broadway-Manchester, Los Angeles, CA",California,33.9410149,-118.2744036
25,"Brookside, Los Angeles, CA",California,34.0536909,-118.242766
26,"Bunker Hill, Los Angeles, CA",90012-2410,34.0550659,-118.2512228
27,"Cahuenga Pass, Los Angeles, CA",,,
