,index,0
0,Venue Review Count,0.26351479027159397
1,Venue Category_Fast Food Restaurant,0.05225571231122478
2,Distance to Neighborhood 0,0.03622942558070114
3,Venue Price_$$,0.03505524683968805
4,Venue Category 0_servicestations,0.0224543705783712
5,Venue Category 1_convenience,0.021031089971745763
6,Venue Category_Pharmacy,0.019997302590209466
7,Venue Category_Discount Store,0.019881923538804493
8,Venue Price_$$$,0.019809889334400817
9,Venue Category 1_hotdogs,0.018674949084110767
10,Venue Category 0_drugstores,0.018002785022634568
11,Venue Category 2_none,0.016268271264053925
12,Venue Category 0_mexican,0.013049188719269411
13,Venue Category 0_hotdogs,0.012651158125353097
14,Venue Category_Pizza Place,0.011760487905228099
15,Venue Category 0_deptstores,0.011749912041672257
16,Venue Category_Grocery Store,0.010687408729728835
17,Neighborhood 0_Panorama City,0.008569294572579989
18,Venue Category 0_pizza,0.007646726459372984
19,Venue Category_Ice Cream Shop,0.00673511071774266
20,Venue Category 1_none,0.0065578866155325734
21,Venue Category 0_grocery,0.006100590540913762
22,Neighborhood 0_University Hills,0.005819573107668515
23,Venue Category_Convenience Store,0.005118249342810683
24,Venue Category 1_tradamerican,0.004894900146275748
